MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs2519093	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.	www.ncbi.nlm.nih.gov/pubmed/26343387
http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	waist-hip ratio, body mass index	rs12489828	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0001645	coronary heart disease	rs3883013	RTN4 and FBXL17 Genes are Associated with Coronary Heart Disease in Genome-Wide Association Analysis of Lithuanian Families.	www.ncbi.nlm.nih.gov/pubmed/24778558
http://www.ebi.ac.uk/efo/EFO_0004309	platelet count	rs2975009	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004527	mean corpuscular hemoglobin	rs747844459	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/GO_0036276	unipolar depression, mood disorder, response to antidepressant	rs400736	Analysis of 23andMe antidepressant efficacy survey data: implication of circadian rhythm and neuroplasticity in bupropion response.	www.ncbi.nlm.nih.gov/pubmed/27622933
http://www.ebi.ac.uk/efo/EFO_0000183	Hodgkins lymphoma	rs6903608	A meta-analysis of Hodgkin lymphoma reveals 19p13.3 TCF3 as a novel susceptibility locus.	www.ncbi.nlm.nih.gov/pubmed/24920014
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs7658614	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs216452	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0008434	initial pursuit acceleration	rs12328258	Genome-wide association studies of smooth pursuit and antisaccade eye movements in psychotic disorders: findings from the B-SNIP study.	www.ncbi.nlm.nih.gov/pubmed/29064472
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs35381637	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs12439619	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs10761648	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	QRS complex, QRS duration	rs17608766	52 Genetic Loci Influencing Myocardial Mass.	www.ncbi.nlm.nih.gov/pubmed/27659466
http://www.ebi.ac.uk/efo/EFO_0000195	metabolic syndrome	rs10468017	A bivariate genome-wide approach to metabolic syndrome: STAMPEED consortium.	www.ncbi.nlm.nih.gov/pubmed/21386085
http://www.ebi.ac.uk/efo/EFO_0000274	atopic eczema	rs7927894	Multi-ancestry genome-wide association study of 21,000 cases and 95,000 controls identifies new risk loci for atopic dermatitis.	www.ncbi.nlm.nih.gov/pubmed/26482879
http://www.orpha.net/ORDO/Orphanet_85443, http://www.ebi.ac.uk/efo/EFO_0008371	AL amyloidosis, kidney amyloid deposition measurement	rs9344	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	www.ncbi.nlm.nih.gov/pubmed/28679651
http://www.ebi.ac.uk/efo/EFO_0004754	interleukin 1 receptor antagonist measurement	rs146151667	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs185237819	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs2291429	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0004305	erythrocyte count	rs9549260	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs12983728	The impact of low-frequency and rare variants on lipid levels.	www.ncbi.nlm.nih.gov/pubmed/25961943
http://www.ebi.ac.uk/efo/EFO_0004530	triglyceride measurement	rs11776767	Discovery and refinement of loci associated with lipid levels.	www.ncbi.nlm.nih.gov/pubmed/24097068
http://www.ebi.ac.uk/efo/EFO_0004611	low density lipoprotein cholesterol measurement	rs187918276	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	rs11740657	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	www.ncbi.nlm.nih.gov/pubmed/27143689
http://www.ebi.ac.uk/efo/EFO_0004216	conduct disorder	rs11838918	Genome-wide association study of conduct disorder symptomatology.	www.ncbi.nlm.nih.gov/pubmed/20585324
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio	rs115955109	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0006995, http://www.ebi.ac.uk/efo/EFO_0000270	response to diisocyanate, asthma	rs76917448	Genome-Wide Association Study Identifies Novel Loci Associated With Diisocyanate-Induced Occupational Asthma.	www.ncbi.nlm.nih.gov/pubmed/25918132
http://www.ebi.ac.uk/efo/EFO_0003939	energy intake	rs11097470	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0007837, http://www.ebi.ac.uk/efo/EFO_0007791	rheumatoid arthritis, anti-citrullinated protein antibody seropositivity, rheumatoid factor seropositivity measurement	rs9860428	A Multinational Arab Genome-Wide Association Study Identifies New Genetic Associations for Rheumatoid Arthritis.	www.ncbi.nlm.nih.gov/pubmed/28118524
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs3112255	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0007856	facial height measurement	rs118125078	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	www.ncbi.nlm.nih.gov/pubmed/28441456
http://www.ebi.ac.uk/efo/EFO_0004812	interleukin-1 beta measurement	rs74694425	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs61823972	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000270	asthma	rs4815617	Genome-wide association study of asthma identifies RAD50-IL13 and HLA-DR/DQ regions.	www.ncbi.nlm.nih.gov/pubmed/20159242
http://www.ebi.ac.uk/efo/EFO_0006336	diastolic blood pressure	rs875589	Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney.	www.ncbi.nlm.nih.gov/pubmed/28739976
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs2811686	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	www.ncbi.nlm.nih.gov/pubmed/29212778
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs4624519	Genome-wide association study identifies five new schizophrenia loci.	www.ncbi.nlm.nih.gov/pubmed/21926974
http://www.ebi.ac.uk/efo/EFO_0004471, http://www.ebi.ac.uk/efo/EFO_0006896	insulin sensitivity measurement, glucose homeostasis measurement	rs1223629	Genetic Variants Associated With Quantitative Glucose Homeostasis Traits Translate to Type 2 Diabetes in Mexican Americans: The GUARDIAN (Genetics Underlying Diabetes in Hispanics) Consortium.	www.ncbi.nlm.nih.gov/pubmed/25524916
http://www.ebi.ac.uk/efo/EFO_0004584	mean platelet volume	rs13412535	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004612	high density lipoprotein cholesterol measurement	rs605066	Discovery and refinement of loci associated with lipid levels.	www.ncbi.nlm.nih.gov/pubmed/24097068
http://www.ebi.ac.uk/efo/EFO_0008264	platelet-derived growth factor BB measurement	rs150779234	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0008130	fibroblast growth factor basic measurement	rs61990749	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0008433	pursuit maintenance gain measurement	rs77630455	Genome-wide association studies of smooth pursuit and antisaccade eye movements in psychotic disorders: findings from the B-SNIP study.	www.ncbi.nlm.nih.gov/pubmed/29064472
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs2242194	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0006937	optic disc area measurement	rs56385951	New insights into the genetics of primary open-angle glaucoma based on meta-analyses of intraocular pressure and optic disc characteristics.	www.ncbi.nlm.nih.gov/pubmed/28073927
http://www.ebi.ac.uk/efo/EFO_0004502	adiponectin measurement	rs4805885	Novel loci for adiponectin levels and their influence on type 2 diabetes and metabolic traits: a multi-ethnic meta-analysis of 45,891 individuals.	www.ncbi.nlm.nih.gov/pubmed/22479202
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs112875651	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007938, http://www.ebi.ac.uk/efo/EFO_0007908	coronary atheroscleroris measurement, traffic air pollution measurement	rs2822693	A genome-wide trans-ethnic interaction study links the PIGR-FCAMR locus to coronary atherosclerosis via interactions between genetic variants and residential exposure to traffic.	www.ncbi.nlm.nih.gov/pubmed/28355232
http://www.ebi.ac.uk/efo/EFO_0005854	allergic rhinitis	rs11680788	Integrated genome-wide association, coexpression network, and expression single nucleotide polymorphism analysis identifies novel pathway in allergic rhinitis.	www.ncbi.nlm.nih.gov/pubmed/25085501
http://www.ebi.ac.uk/efo/EFO_0004833	neutrophil count	rs6917586	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007766, http://www.ebi.ac.uk/efo/EFO_0004326	response to beta blocker, heart rate	rs17044711	Genome-Wide Association Approach Identified Novel Genetic Predictors of Heart Rate Response to β-Blockers.	www.ncbi.nlm.nih.gov/pubmed/29478026
http://www.ebi.ac.uk/efo/EFO_0003761	unipolar depression	rs117715236	Genome-wide meta-analyses of stratified depression in Generation Scotland and UK Biobank.	www.ncbi.nlm.nih.gov/pubmed/29317602
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs12047243	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0008354	cognitive function measurement	rs141729694	Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.	www.ncbi.nlm.nih.gov/pubmed/29186694
http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0000289, http://purl.obolibrary.org/obo/GO_0010226	schizophrenia, bipolar disorder, response to lithium ion	rs324899	Association of Polygenic Score for Schizophrenia and HLA Antigen and Inflammation Genes With Response to Lithium in Bipolar Affective Disorder: A Genome-Wide Association Study.	www.ncbi.nlm.nih.gov/pubmed/29121268
